,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Albania,2.9,2.5,1.5,1.2,1.6,1.1,2.5,3.3,5.7,5.6,2.7,2.3,1.9,2.4,1.9,1.8,0.8,1.4,1.3,1.3,1.5
1,Armenia,..,..,..,..,..,..,..,..,0.9,2.2,1.1,0.8,0.6,0.4,0.9,0.9,1.0,..,..,..,..
2,Australia,1.0,0.9,0.9,1.0,1.2,1.5,1.4,1.5,1.6,1.6,1.6,1.8,1.9,1.6,1.4,1.2,1.3,1.5,1.7,..,..
3,Austria,0.8,0.8,(B) 0.8,0.8,0.9,0.8,0.9,0.8,0.9,0.9,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7
4,Azerbaijan,0.6,0.9,1.1,0.6,0.8,1.0,1.6,1.6,4.0,4.0,3.9,3.3,2.7,3.4,2.5,1.8,1.5,1.5,1.8,2.0,2.0
5,Belarus,..,..,..,..,..,2.8,2.6,2.9,2.8,2.3,2.7,3.5,4.1,3.2,2.8,2.4,2.2,2.4,2.2,2.4,..
6,Belgium,0.5,0.4,0.5,0.5,0.4,(B) 0.4,0.4,0.3,0.4,0.5,(B) 0.5,0.5,0.5,0.5,(B) 0.4,(PB) 0.5,0.5,(P) 0.4,(P) 0.4,(P) 0.4,..
7,Bulgaria,..,..,..,..,..,1.7,1.8,2.0,0.9,0.5,1.3,1.5,1.7,1.5,1.7,2.5,0.6,0.4,1.7,1.1,1.1
8,Canada,0.5,0.6,0.6,0.6,0.5,0.6,0.7,0.8,0.9,1.1,1.3,1.2,1.1,1.0,(B) 0.4,0.6,0.6,0.6,0.5,(P) 0.6,..
9,China,2.0,1.9,..,..,3.4,3.7,3.8,3.5,3.6,4.9,4.9,4.1,4.4,4.6,5.0,5.3,5.5,5.8,5.6,5.6,5.8
10,Croatia,1.4,1.3,2.3,3.7,3.0,2.3,2.5,2.6,2.5,2.2,1.3,1.2,1.2,1.4,(B) 0.9,0.7,0.5,0.5,0.7,0.9,1.1
11,Czech Republic,1.0,0.9,1.2,1.2,1.5,1.7,1.6,1.5,2.0,1.9,1.5,1.1,0.8,0.6,0.7,1.2,0.9,0.8,0.8,1.0,1.3
12,Denmark,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.8,0.9,0.8,0.9,0.9,0.8,0.8,0.8,..,..
13,Estonia,0.7,0.5,0.8,0.7,0.8,1.1,1.1,1.0,1.0,1.1,1.2,1.5,(B) 1.4,1.3,0.8,1.0,0.7,0.9,1.0,0.9,1.0
14,Finland,0.5,(B) 0.5,0.5,0.5,0.6,0.5,(B) 0.5,0.5,0.7,0.7,0.7,0.7,0.8,0.9,0.9,0.9,0.8,0.8,0.9,0.8,0.9
15,France,1.0,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,1.0,1.0,1.0,1.0,1.1,0.9,0.9,0.8,0.8,0.8,0.9,(P) 0.9
16,Georgia,..,..,2.3,1.7,1.2,1.5,2.5,4.5,2.0,4.0,3.4,4.7,3.3,2.3,2.3,2.1,2.1,2.5,3.1,3.1,..
17,Germany,0.9,0.8,0.9,0.9,0.8,(B) 0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.6,(B) 0.6,0.7,0.6,0.6,0.7,0.7,0.7,0.8
18,Greece,1.4,1.3,1.6,1.9,1.7,0.8,0.8,0.8,0.9,1.0,0.7,0.6,0.7,1.2,0.9,1.0,1.5,2.3,1.3,0.5,0.5
19,Hungary,0.7,0.8,0.8,0.7,1.9,2.1,0.7,1.0,1.2,2.0,(B) 1.1,0.6,0.6,1.0,1.8,1.7,1.0,1.4,1.9,2.2,1.9
20,Iceland,1.3,1.2,1.2,1.7,1.3,1.1,1.5,1.2,2.0,1.3,0.8,(B) 0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.6
21,India,..,..,..,..,0.7,0.9,1.0,1.0,1.1,1.0,0.9,0.8,0.8,1.0,1.1,1.2,1.1,..,..,..,..
22,Ireland,1.0,1.1,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.1,0.9,0.7,0.5,0.4,1.1,0.3,0.2,0.2,0.2,0.3,..
23,Italy,0.9,0.7,(B) 0.8,1.0,1.1,1.3,1.5,1.3,1.2,0.7,0.5,0.5,0.5,0.4,0.6,0.5,0.5,0.4,0.5,0.5,..
24,Japan,1.7,1.6,1.6,1.4,1.3,1.2,1.2,1.1,1.1,1.2,1.1,1.0,1.0,1.1,1.0,0.9,0.9,(B) 1.0,1.1,1.1,..
25,Korea,..,1.7,1.6,1.6,1.4,1.3,1.2,1.1,(B) 2.1,2.5,1.9,1.6,1.7,1.7,1.5,1.6,1.5,1.4,1.2,1.3,..
26,Latvia,0.5,0.4,0.4,(B) 0.8,0.8,1.3,1.1,1.2,1.4,1.0,1.1,1.4,1.3,1.2,1.4,1.7,0.8,0.9,0.8,0.8,0.8
27,Lithuania,1.0,0.7,1.1,1.4,1.1,1.1,1.2,1.3,1.6,1.9,1.9,1.5,1.1,1.1,1.3,1.2,1.1,0.9,0.9,0.9,1.3
28,Luxembourg,0.9,1.1,1.1,1.1,0.9,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.7,0.7,0.8,0.9,0.9,0.9,0.7,0.8,0.8
29,Malta,0.1,0.1,0.2,0.2,0.3,0.7,0.5,0.4,0.3,0.1,0.2,0.3,0.4,0.1,0.4,..,..,..,..,..,..
30,Mexico,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.4,0.4,0.3,0.2
31,Moldova,0.2,0.2,0.6,0.7,0.5,0.5,0.5,1.2,1.2,0.6,0.4,0.3,0.7,0.7,0.6,0.8,0.5,0.4,(P) 0.4,..,..
32,"Montenegro, Republic of",0.1,0.0,0.1,0.1,0.2,0.2,1.7,1.9,0.4,0.8,0.6,0.5,0.6,0.6,0.3,0.3,0.4,0.3,0.6,0.6,..
33,Netherlands,0.6,0.6,0.8,0.8,0.7,0.5,0.5,0.5,0.5,0.6,0.6,0.6,..,..,..,..,..,..,..,..,..
34,New Zealand,..,..,..,..,..,..,..,0.5,0.7,0.7,0.9,0.9,0.6,0.7,0.7,0.8,0.6,0.6,0.7,0.6,0.8
35,Norway,0.7,0.6,0.7,0.6,0.6,0.7,0.6,0.7,0.8,1.0,1.0,0.9,1.0,1.2,1.3,1.4,1.5,1.4,1.5,1.6,..
36,Poland,(B) 0.7,0.6,0.5,0.6,(B) 0.7,0.9,1.1,1.3,1.5,1.9,2.0,2.4,1.2,(B) 0.7,(B) 0.4,(B) 0.6,0.8,0.8,0.6,(B) 0.6,0.7
37,Portugal,(B) 1.1,1.5,(B) 1.5,1.5,1.6,1.6,1.4,1.0,1.0,(B) 0.8,1.1,..,0.2,0.2,..,..,..,..,..,..,..
38,Romania,1.9,2.1,1.7,1.9,2.2,2.0,2.3,2.7,3.2,3.0,2.7,3.0,2.6,2.2,2.0,2.3,1.7,1.3,1.2,..,..
39,Russian Federation,1.9,1.7,1.1,1.4,1.5,(B) 1.3,1.2,1.3,1.7,1.5,1.3,1.3,1.2,1.1,1.0,0.9,1.1,0.9,0.8,0.9,1.0
40,"Serbia, Republic of",(B) 0.7,0.6,0.9,0.9,1.0,0.9,1.5,1.4,1.2,0.9,0.8,1.0,0.8,0.8,1.0,1.7,1.7,1.5,1.3,(P) 1.7,..
41,Slovak Republic,0.9,1.1,1.3,(B) 0.7,0.7,1.0,1.1,1.3,1.1,(B) 1.3,0.9,1.0,0.7,0.9,1.1,1.8,1.1,1.2,1.2,..,1.0
42,Slovenia,2.1,1.4,1.5,1.9,2.0,1.7,1.9,2.1,2.1,1.3,1.0,0.6,0.5,0.7,1.1,(B) 1.3,0.6,0.7,1.1,1.1,0.9
43,Spain,1.0,1.1,1.4,1.4,1.4,1.5,(B) 1.5,1.5,1.6,1.7,1.4,1.3,1.0,0.7,0.7,0.6,0.5,0.5,0.5,(P) 0.5,(E) 0.6
44,Sweden,0.5,0.6,0.7,0.7,(B) 0.8,0.8,0.8,0.8,0.9,1.0,0.9,0.8,0.9,0.8,0.8,(B) 0.8,0.8,0.8,0.8,0.9,1.1
45,Switzerland,1.4,1.4,1.5,1.5,1.5,(B) 1.5,1.4,1.4,1.4,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.2,1.1,1.1,1.2,..
46,Turkey,0.4,0.6,0.4,0.4,0.5,0.5,0.6,0.6,0.8,0.9,1.1,1.1,0.9,1.2,1.1,1.3,1.2,1.0,..,..,..
47,United Kingdom,0.6,0.6,0.7,0.7,0.5,0.6,(B) 0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,(B) 0.9,0.9,0.9,0.9,0.9,..
48,United States,0.7,0.7,0.6,0.6,(B) 0.5,0.6,0.6,0.6,(B) 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,(B) 0.6,0.5,(B) 0.6,..
